anfrage;kategorie
Meine Mülltonne wurde heute nicht geleert.;Abfall
Seit Tagen liegt Sperrmüll vor dem Haus.;Abfall
Wann ist die nächste Abholung von Altpapier?;Abfall
Die Wertstoffinsel ist überfüllt.;Abfall
Warum wurde mein Bioabfall nicht abgeholt?;Abfall
Im Park liegt viel Müll herum.;Abfall
Ich brauche neue Müllsäcke.;Abfall
Wie bestelle ich eine größere Mülltonne?;Abfall
Der Glascontainer ist defekt.;Abfall
Was tun bei illegaler Müllablagerung?;Abfall
Wie beantrage ich einen neuen Reisepass?;Dokumente
Ich brauche eine Meldebescheinigung.;Dokumente
Wo kann ich meinen Ausweis verlängern?;Dokumente
Ich habe meinen Personalausweis verloren.;Dokumente
Was kostet ein neuer Reisepass?;Dokumente
Wie lange dauert die Bearbeitung eines Ausweises?;Dokumente
Wo finde ich das Antragsformular?;Dokumente
Ich brauche eine Geburtsurkunde.;Dokumente
Welche Unterlagen brauche ich für einen Reisepass?;Dokumente
Ich möchte ein Führungszeugnis beantragen.;Dokumente
Die Straßenlaterne vor meinem Haus ist defekt.;Infrastruktur
Es fehlt ein Straßenschild an der Ecke.;Infrastruktur
Die öffentliche Toilette ist unbenutzbar.;Infrastruktur
Die Ampelanlage blinkt nur gelb.;Infrastruktur
Wann wird das Schlagloch repariert?;Infrastruktur
Der Spielplatz ist stark beschädigt.;Infrastruktur
Die Bushaltestelle ist verdreckt.;Infrastruktur
Der Gehweg ist uneben und gefährlich.;Infrastruktur
Wer ist für die Brückeninspektion zuständig?;Infrastruktur
Es gibt keinen Zebrastreifen an der Schule.;Infrastruktur
In meiner Straße wird ständig falsch geparkt.;Verkehr
Was kostet ein Bewohnerparkausweis?;Verkehr
Wie beantrage ich eine Halteverbotszone?;Verkehr
Warum wurde mein Auto abgeschleppt?;Verkehr
Wo darf ich mit einem E-Auto parken?;Verkehr
Was tun bei einem Knöllchen?;Verkehr
Ich brauche Informationen zur Verkehrsberuhigung.;Verkehr
Gibt es eine Geschwindigkeitskontrolle in meiner Straße?;Verkehr
Wie beantrage ich einen Anwohnerparkplatz?;Verkehr
Wo kann ich eine Baustellenumleitung melden?;Verkehr
Wie beantrage ich eine Baugenehmigung?;Bau
Was kostet ein Bauantrag?;Bau
Wie lange dauert die Baugenehmigung?;Bau
Welche Unterlagen brauche ich für den Bauantrag?;Bau
Gibt es ein Bebauungsplan für meine Straße?;Bau
Wer ist zuständig für Denkmalschutzfragen?;Bau
Ich möchte mein Dach ausbauen - was muss ich beachten?;Bau
Welche Grenzabstände gelten beim Neubau?;Bau
Ich will eine Garage bauen.;Bau
Wie funktioniert die Bauanzeige?;Bau
Was sind die Öffnungszeiten des Bürgerbüros?;Sonstiges
Wie funktioniert die Briefwahl?;Sonstiges
Ich habe eine allgemeine Beschwerde.;Sonstiges
An wen kann ich mich bei Fragen wenden?;Sonstiges
Wo finde ich das Fundbüro?;Sonstiges
Wie kann ich ein Bürgerbegehren starten?;Sonstiges
Gibt es Förderprogramme für Familien?;Sonstiges
Was tun bei Problemen mit der Wasserversorgung?;Sonstiges
Gibt es Angebote für Senioren?;Sonstiges
Ich habe eine Idee für meine Gemeinde.;Sonstiges
